21398;;Eisgrotte am Morteratschgletscher;Ansichtskarte;Druck;;1909, 19. August
21399;;Morteratschgletscher. Eisgrotte.;Ansichtskarte;Druck;;1913, 28. Juli
21400;;Eishöhle;Ansichtskarte;Druck;;
21423;;Guide de montagne, Bergführer;Ansichtskarte;Druck;;
21424;Platz Ernst Heinrich;Roseg;Ansichtskarte;Druck;;
21426;Steiner Albert ;Segantinis Sterberbehütte am Schafberg;Ansichtskarte;Druck;;
21428;;Muottas-Muraigl Blick gegen Bernina und Roseg;Ansichtskarte;Druck;;1929, Oktober
21435;Tanner Simon;Restaurant auf dem Schafberg;Ansichtskarte;Druck;;1901, 29. Dezember
21450;;Partie de glacier;Ansichtskarte;Druck;;1903, 12. Juli
21454;;Forno Hütte mit Torronegruppe 3290 m;Ansichtskarte;Druck;;1935, 5. August
21459;;Neue Kehlenalphütte 2305 m.;Ansichtskarte;Druck;;
23825;Geiger Jules;Terrihütte (Sektion Piz Terri S.A.C.) u. das Somvixertal;Ansichtskarte;Druck;;
24114;Mischol Domenic;Sulzfluhgipfel 2820 m. ü. M.;Ansichtskarte;Druck;;1911, 3. August
25496;;Gruss aus dem Ober-Engadin;Ansichtskarte;Druck;;1902, 19. August
26035;Gröbli Carlo;"""Berninagruppe""";Grafik;Chromolitho;"B: 37,7; H: 28,4";1910
26920;Meisser Christian Ferdinand;Reinharthütte S. A. C. (Sect. Winterthur) 2340 m;Ansichtskarte;Druck;;1925, 24. Juli
27312;;Lenta-Hütte, Sekt. Bodan S. A. C. m. P. Scharboden;Ansichtskarte;Druck;;1927, 3. August
27816;Derichsweiler Walram;Terrihütte und Vialgruppe vom Uebergang zum Diesrutpass;Ansichtskarte;Druck;;1929, 14. August
28223;;Gruss aus Zuoz;Ansichtskarte;Druck;;1914, 7. August
28362;Eckenbrecher Themistocles von (Karl Paul Th.);"""Gletschertisch""";Grafik;Xylografie (Holzstich);"B: 16,8; H: 8.5";1865
28477;Conradin Christian Friedrich;"""Bernina Hospiz""";Grafik;Druck  /  einer Federzeichnung;"B: 9; H: 8";
28726;Mischol Domenic;"""Silvrettagletscher (Pass) 3013 m - Piz Linard 3416 m""";Fotografie;Lichtdruck;;1907
28727;Mischol Domenic;"""Gross- und Klein-Buin, 3316 u. 3260 m""";Fotografie;Lichtdruck;;1907
28735;Feuerstein Johann;"""Schuls mit Lischannagruppe""";Fotografie;Fotodruck;;1920 um
28736;Feuerstein Johann;"""Piz Lischanna""";Fotografie;Fotodruck;;1920 um
28755;Rutz Othmar;"""Gletscher am Piz Cambrena""";Fotografie;Fotodruck;;1920 um
28756;Steiner Albert ;"""Am Piz Palü""";Fotografie;Fotodruck;;1920 um
28757;Rutz Othmar;"""Diavolezzahütte""";Fotografie;Fotodruck;;1920 um
28758;Rutz Othmar;"""Piz Roseg""";Fotografie;Fotodruck;;1920 um
28778;Rutz Othmar;"""Pizzo di Sciora (bei Bondo)""";Fotografie;Fotodruck;;1920 um
28779;Gaberell Jean;"""In der Südwand des Pizzo di Sciora""";Fotografie;Fotodruck;;1920 um
28780;Rutz Othmar;"""Klettern im Fels""";Fotografie;Fotodruck;;1920 um
28850;Steiger Johann Martin;"""Val Sta. Maria Lukmanier""";Grafik;Fotodruck  /  fotomechanische Kupferdruck-Reproduktion;"B: 12; H: 7,8";1890 um
